Unit,year,D1,D2,D3,C1,C2,C3,gini,valid_d1
Household,1988,0.2826776047835956,0.1380349256855272,0.08293482995060962,0.4226740188450453,0.27999282812289866,0.21293685365605675,0.4346447904328088,0.4346447904328088
Household,1989,0.2827883009004838,0.13841292325151333,0.08333857062216429,0.42389900239534106,0.28222140298971504,0.21571271960730243,0.4344233981990324,0.4344233981990324
Household,1990,0.27949328206491325,0.1357024140811494,0.08122310128815058,0.41680133402869035,0.2746161039275538,0.20837053476960826,0.4410134358701735,0.4410134358701735
Household,1991,0.2803135362531482,0.13593002910419819,0.0813252158082821,0.41777487066297064,0.2749226688196425,0.20848895957316876,0.4393729274937036,0.4393729274937036
Household,1992,0.2762814202398449,0.13289328829990174,0.07887317961092152,0.40895537212776517,0.2653479037758392,0.19868192321390798,0.44743715952031016,0.44743715952031016
Household,1993,0.2708705805259606,0.12813065246156882,0.07506660118038613,0.39621847617404765,0.25069579129617514,0.1838477082519099,0.45825883894807884,0.45825883894807884
Household,1994,0.2593972014657461,0.1203723332300923,0.06889332160265185,0.35343879848790444,0.18808319404431958,0.10156629122133942,0.48120559706850785,0.48120559706850785
Household,1995,0.2644672652257713,0.12538099908771777,0.07358791745912384,0.3838897876581227,0.2388450448647055,0.17019606866548326,0.4710654695484574,0.4710654695484574
Household,1996,0.2688746327043981,0.12870927340829494,0.07622247349490646,0.39475649800204504,0.25176373059529233,0.18458168578049894,0.4622507345912038,0.4622507345912038
Household,1997,0.27534904883703337,0.13459747118981022,0.08119791541144031,0.4119779902529984,0.2732578828319295,0.20799061746318034,0.44930190232593326,0.44930190232593326
Household,1999,0.2731010403107763,0.13412379040998412,0.08112855059694757,0.4070250579910456,0.26784803536053664,0.20058636742583014,0.4537979193784474,0.4537979193784474
Household,2001,0.2651392715137169,0.12952673230104422,0.0782120623387186,0.39283097637837605,0.2553834097293188,0.18878501614241208,0.4697214569725662,0.4697214569725662
Household,2003,0.2700360538896617,0.13069855714078252,0.07805318818560106,0.38347729127147684,0.22688247476362977,0.1442758764342722,0.45992789222067665,0.45992789222067665
Household,2005,0.2638813383509024,0.12804648467111487,0.07709206852714495,0.3941605183673426,0.26055836003287725,0.19876781304264451,0.47223732329819523,0.47223732329819523
