"Unit","fm","weighted.mean","sm","weighted.sd","wtd.sd","tm","w.skew.SAS","w.skew.Stata"
"Clan",108513.486901931,108513.486901931,18015123707.8824,79027.5261661096,78994.6577910726,4651284490499879,3.52631709676752,2.72291565052164
"Clan",117627.677963608,117627.677963608,21251130879.6366,86146.3617673991,86111.0071959094,5859758011963799,3.1825561930909,2.53042321577074
"Clan",132335.890567056,132335.890567056,29969863855.0099,111658.448482707,111613.092668257,14255675440780212,7.38591292122679,5.0293450778215
"Clan",148067.796349488,148067.796349488,38264319719.7588,127882.652748704,127830.810540194,20807591409942916,6.90864887893893,4.93257401714342
"Clan",164149.558031845,164149.558031845,44673457754.8251,133202.694853935,133149.828919347,20409674946285132,3.97565096746578,3.07406986381351
"Clan",179057.688991642,179057.688991642,50772370285.7278,136843.224610972,136789.03010473,21464744288370824,2.5833668762029,2.21653537116732
"Clan",194995.34897305,194995.34897305,63605316924.6411,160009.05553438,159946.36122652,35401607928820528,3.83266226480524,3.18254888462792
"Clan",222023.073082062,222023.073082062,79170819717.4025,172918.746175456,172850.866953346,42229550112701648,2.52469755328842,2.20467894379992
"Clan",250775.701176767,250775.701176767,113127903244.766,224228.177257037,224144.690138955,86168391918561680,3.62507288290115,2.89509977974137
"Clan",267862.722236854,267862.722236854,125693652459.362,232346.732192866,232260.042649593,100093012417568944,3.46123169019408,2.99517771262208
"Clan",288813.025763256,288813.025763256,143062811896.004,244329.175622846,244236.693137917,118379415651763984,3.40730163679833,2.92451432108953
"Clan",310872.594516094,310872.594516094,161342301626.49,254483.93531074,254366.557070801,136024769271027312,3.05901097272181,2.77325503703611
"Clan",379381.69574417,379381.69574417,250402717127.3,326452.13506343,326305.484726364,277821241805646976,3.39301149335764,2.93695921468841
"Clan",469901.33330563,469901.33330563,401109004686.257,424811.853008237,424625.614733693,578824233099237120,3.19800754193882,2.88526068467056
"Clan",488362.093035594,488362.093035594,416434168492.053,422012.537739746,421831.227723599,606423832097312896,3.38612630873655,3.05440579752942
"Clan",562848.834987609,562848.834987609,653939292453.67,580891.276260863,580645.978213972,2243034632123926784,8.49580531278381,7.6393215530117
"Clan",653664.91799416,653664.91799416,764335714323.499,580820.821384364,580574.678724897,1529519417694244608,3.37063792029335,3.01124365279275
"Clan",728853.953725611,728853.953725611,1049702050729.82,720359.389658703,720060.927582728,3460697512191221760,5.40841326890617,5.19606089528831
"Clan",733120.228352319,733120.228352319,1013175678356.47,690017.114140325,689726.296811587,2385270468116647936,3.20715130899401,2.88012243221876
"Clan",827761.390485536,827761.390485536,1382302812284.71,835298.076259187,834944.322722841,4653785679725314048,5.0956386608327,4.04691396185517
"Clan",852936.976309422,852936.976309422,1311038744796.49,764238.376126095,763905.138124236,3159076171801483776,2.73711317504904,2.34520240525388
"Clan",974312.34042912,974312.34042912,1782031557524.19,912967.629009506,912561.074987042,5535074166002854912,3.23501116361823,2.86358909880606
"Clan",1037897.43559537,1037897.43559537,2095505152687.8,1009555.84134511,1009106.77536082,7671740659854199808,3.76702048521754,3.2924328911475
"Clan",1144464.94371967,1144464.94371967,2825590764642.37,1231750.43306977,1231188.78218265,1.6981266121293e+19,6.57371197588027,5.50740611366861
