"year","hh_u_black_mean","hh_u_nonblack_mean","hh_u_mean_ratio","hh_u_black_median","hh_u_nonblack_median","hh_u_median_ratio","hh_w_black_mean","hh_w_nonblack_mean","hh_w_mean_ratio","hh_w_black_median","hh_w_nonblack_median","hh_w_median_ratio","r_hh_u_black_mean","r_hh_u_nonblack_mean","r_hh_u_mean_ratio","r_hh_u_black_median","r_hh_u_nonblack_median","r_hh_u_median_ratio","r_hh_w_black_mean","r_hh_w_nonblack_mean","r_hh_w_mean_ratio","r_hh_w_black_median","r_hh_w_nonblack_median","r_hh_w_median_ratio","cl_u_black_mean","cl_u_nonblack_mean","cl_u_mean_ratio","cl_u_black_median","cl_u_nonblack_median","cl_u_median_ratio","cl_w_black_mean","cl_w_nonblack_mean","cl_w_mean_ratio","cl_w_black_median","cl_w_nonblack_median","cl_w_median_ratio","r_cl_u_black_mean","r_cl_u_nonblack_mean","r_cl_u_mean_ratio","r_cl_u_black_median","r_cl_u_nonblack_median","r_cl_u_median_ratio","r_cl_w_black_mean","r_cl_w_nonblack_mean","r_cl_w_mean_ratio","r_cl_w_black_median","r_cl_w_nonblack_median","r_cl_w_median_ratio","neg_r_hh_w_black_mean","neg_r_hh_w_nonblack_mean","neg_r_hh_w_mean_ratio","neg_r_hh_w_black_median","neg_r_hh_w_nonblack_median","neg_r_hh_w_median_ratio","neg_r_cl_w_black_mean","neg_r_cl_w_nonblack_mean","neg_r_cl_w_mean_ratio","neg_r_cl_w_black_median","neg_r_cl_w_nonblack_median","neg_r_cl_w_median_ratio"
1979,3041.25653962014,5591.03078814907,0.543952744110529,2231.13333333333,4389.9825,0.508232853623752,3492.54131796535,5900.7955253386,0.591876350056197,2651.0645,4555.9515,0.581890413012518,3160.02463861453,5775.77135994975,0.547117335794613,2309.5645,4610.25,0.500962962962963,3717.26244062761,6272.27915695271,0.592649393882141,2732,5008.66666666667,0.545454545454545,7887.20160139562,13387.8363078014,0.589131911987868,6654.469,11764.675,0.565631349782293,8216.03660195425,13471.8622534673,0.609866434749186,6830,11655.395,0.585994726047465,7911.97935826708,13497.8165291211,0.586167350933928,7087.0812,12498.9,0.567016393442623,8456.59435882761,13772.6003229899,0.614015811139996,7953.8765,12749.3333333333,0.623866071428571,3717.26244062761,6272.27915695271,0.592649393882141,2732,5008.66666666667,0.545454545454545,8456.59435882761,13772.6003229899,0.614015811139996,7953.8765,12749.3333333333,0.623866071428571
1980,3930.00377440051,7197.28166425183,0.546040013123349,3017.99166666667,5471.93333333333,0.551540284360189,4455.77155082763,7597.93716909624,0.586444906250473,3290.94,5754.866,0.571853454103015,4042.78559737088,7381.88523231054,0.547663025113908,3112,5767.80673333333,0.539546511157372,4618.38577355015,8010.98036322799,0.576506939743539,3471.436,6301.8,0.550864197530864,10185.0859190398,16956.9683217739,0.600643094081945,8735.8508,15034.461,0.58105513726099,10790.3696723774,16963.9218847181,0.63607753830191,9149.28,14820.9,0.617322834645669,10226.6427747302,17257.175323109,0.592602357179263,9252.6762,16155.7535,0.572717094253759,10874.0269417483,17605.6292456603,0.61764489016652,9740.56,16493.6,0.590566037735849,4618.38577355015,8010.98036322799,0.576506939743539,3471.436,6301.8,0.550864197530864,10874.0269417483,17605.6292456603,0.61764489016652,9740.56,16493.6,0.590566037735849
1981,4763.78873230404,8947.36668648971,0.532423549768809,3638.5575,6753.52,0.538764599793885,5230.51684289368,9545.21157005207,0.547972855761976,4002,7090.5,0.56441717791411,4886.48037664121,9145.60204826833,0.534298381982019,3713.8125,7061.79,0.525902427005051,5455.88766615548,10040.5335412816,0.543386229797811,4176,7720.38,0.540906017579446,12062.4769819283,21014.4626338899,0.574008348063832,10459.14,18139.5,0.576594724220624,12414.442766969,21049.8716483476,0.589763347461718,11059.005,17835,0.620073170731707,12137.7147784263,21359.6978691769,0.568253111666979,11351.1385714286,19579.35,0.579750531627892,12495.253200543,21853.8482434988,0.571764435321367,11703.24,20137.6,0.581163594470046,5455.88766615548,10040.5335412816,0.543386229797811,4176,7720.38,0.540906017579446,12495.253200543,21853.8482434988,0.571764435321367,11703.24,20137.6,0.581163594470046
1982,5441.1507649575,10652.0078905857,0.510809869918179,4116.43075,8098.9555,0.50826686848693,6219.22068720402,11356.2609920334,0.547646861195502,4432.1,8532.7355,0.519423108802564,5518.28188338539,10784.3067562725,0.511695559863019,4190.692,8361.26666666666,0.501203007518797,6206.03530819945,11749.4751755796,0.528196810109292,4432.1,9177.276,0.482942868886149,13886.4807176445,24655.3087769593,0.563224774155802,11903.842625,21204.6123333333,0.561379875183445,14606.9743230859,24629.8817991248,0.593059050880419,12537.185,21119.8995,0.593619538767218,13896.3497800259,24871.785330313,0.558719432299436,12721.40005,22525.441,0.564756980784527,14554.6284178329,25338.018226955,0.574418578732786,13422.0962,23113.873,0.580694382114153,6206.03530819945,11749.4751755796,0.528196810109292,4432.1,9177.276,0.482942868886149,14554.6284178329,25338.018226955,0.574418578732786,13422.0962,23113.873,0.580694382114153
1983,5800.99451144229,11555.5768563237,0.502008215043606,4156.5,8704.2,0.47752808988764,6485.20548665709,12427.1394688728,0.521858268582329,4483.152,9378.042,0.478047763061842,5797.6390947414,11471.3126043725,0.505403286850674,4131.35142857143,8875.35,0.465486029122393,6384.0316918175,12611.4372379892,0.506209686599952,4474.35,9877.8,0.452970297029703,14772.6148219164,27193.6971700564,0.5432367187711,12499.94025,23253.906,0.537541531732346,15707.5883328482,27260.8289394781,0.576196283969231,13308.95,23139.48,0.57516201746971,14869.2469545285,26605.9056021129,0.558870168784921,13412.781,24269.3145,0.552664188351921,15601.918416021,27155.9614657852,0.574530142697339,14672.3472,24776.978,0.592176624606923,6384.0316918175,12611.4372379892,0.506209686599952,4474.35,9877.8,0.452970297029703,15601.918416021,27155.9614657852,0.574530142697339,14672.3472,24776.978,0.592176624606923
1984,6388.67943444395,12660.4906587246,0.504615469230759,4597.728,9782.4,0.47,6961.1742754,13539.7182820197,0.514129919870209,4900.9824,10572.125,0.463575903614458,6396.22695232427,12687.6650041824,0.504129558135071,4657.67916666667,9935.25,0.468803418803419,6925.27756553834,13843.4476560156,0.500256708994671,4831.75833333333,10956.7975,0.440982717197551,16387.3226518876,29593.1545885597,0.553753828536506,13734.9311666667,25543.273,0.537712264464568,17060.7666951606,29550.1051912126,0.577350455599528,13715.74,25257.4435,0.543037540596696,16437.2211068486,29622.8966619099,0.554882302512439,14606.346,27068.5461666667,0.539605855078647,17103.988105134,30337.8380176987,0.563784014376891,15814.4724,27691.325,0.571098436062557,6925.27756553834,13843.4476560156,0.500256708994671,4831.75833333333,10956.7975,0.440982717197551,17103.988105134,30337.8380176987,0.563784014376891,15814.4724,27691.325,0.571098436062557
1985,7225.79202564342,14389.3344895402,0.50216304519823,5266.56,10901.6666666667,0.483096774193548,7899.56551981555,15501.7690592651,0.509591227273132,5488.11,11704.8733333333,0.468873933421464,7211.35851095434,14291.6409479059,0.504585760112522,5222.25,10998.375,0.474820143884892,7940.9936710928,15598.3873890582,0.509090681813889,5410.64285714286,12185.25,0.444032158317873,18337.0825177157,33931.1604350845,0.540420141326947,15850.8475,28554.89375,0.555100909804646,18991.2451180844,34185.8184574055,0.555529923665479,15825,28204.37,0.56108326475649,18399.2081303382,33243.5364007453,0.55346723370639,16884.7475,30150.845,0.560009097589139,19446.7189933391,33869.1335951084,0.574172319428558,17529.88,30536.6233333333,0.574060851740102,7940.9936710928,15598.3873890582,0.509090681813889,5410.64285714286,12185.25,0.444032158317873,19446.7189933391,33869.1335951084,0.574172319428558,17529.88,30536.6233333333,0.574060851740102
1986,8000.8362456858,15765.3069665189,0.507496381940253,5930.82133333333,11850.5,0.500470134874759,8620.43362984017,16879.5037305217,0.51070421070808,6135.134,12786.6666666667,0.479807142857143,8015.41303498181,15701.7297587808,0.510479619641866,5851.17866666667,11990.24,0.487995124923827,8620.78536067073,17100.7878112508,0.504116269719399,5987.448,13152,0.45525,19836.7477041716,37131.9635508705,0.534222966070605,17409.5946666667,31293.54,0.556331903219216,20347.5219429496,36895.0134815438,0.5514978861067,17863.704,30499.488,0.585705045278137,20266.5873122508,36722.7399740267,0.551881132142781,18758.588,33328.2092,0.56284416265606,21024.2799579182,37547.725194114,0.559934852224123,19136.8906666667,33647.2,0.568751357220412,8620.78536067073,17100.7878112508,0.504116269719399,5987.448,13152,0.45525,21024.2799579182,37547.725194114,0.559934852224123,19136.8906666667,33647.2,0.568751357220412
1987,8491.18872586646,16711.1559047279,0.508114984641136,6191.616,12784.2933333333,0.484314293998261,9101.40736351365,17936.6324517545,0.507420073862494,6494.08,13622,0.476734693877551,8498.59607324653,16795.8307180261,0.505994387293117,6182.72,12921.44,0.478485370051635,9120.21126146553,18417.2294818214,0.495199957760616,6301.33333333333,14233.6,0.442708333333333,20764.631611577,38996.8580791094,0.532469348414009,17984.7466666667,33619.4666666667,0.534950385887541,21297.9529366534,38422.9555707585,0.554302828095349,18134.8666666667,32348.08,0.560616477598258,21054.4318626214,39677.3910786512,0.530640530797145,18847.844,35731.5253333333,0.52748501006245,22018.5065142883,40858.5113576,0.538896444894405,19496.696,36140.556,0.539468623559638,9120.21126146553,18417.2294818214,0.495199957760616,6301.33333333333,14233.6,0.442708333333333,22018.5065142883,40858.5113576,0.538896444894405,19496.696,36140.556,0.539468623559638
1988,9338.51171047258,18445.3765772256,0.50627926577562,6840.184,13768.3,0.496806722689076,10269.0915364723,19851.2416346497,0.517302228518943,7524.35666666667,14747.7005,0.510205415865793,9409.06291418972,18524.3499257811,0.507929452417368,6854.83933333333,13916.396,0.492572885489414,10421.3294483614,20359.1000876481,0.511875741240844,7498.517,15286.284,0.490538904026643,22774.7195942267,42953.3451114417,0.530219928974986,19283.0248,37018.215,0.520906391623691,23551.0360052174,42307.5941967688,0.556662141923827,19645.86,35439.6813333333,0.554346406651286,23353.1931756558,44287.9433509962,0.527303627323,20571.9228,39446.46875,0.521514940421631,24469.0054741125,45892.6880644062,0.533178737313719,21664.2465,39709.397,0.545569767780659,10421.3294483614,20359.1000876481,0.511875741240844,7498.517,15286.284,0.490538904026643,24469.0054741125,45892.6880644062,0.533178737313719,21664.2465,39709.397,0.545569767780659
1989,10577.8041608322,20645.6066830792,0.51235133572033,7881.69258333333,15139.922,0.520590038927105,11349.9427531637,21934.7923143285,0.517440174063082,8396.26666666667,16004.576,0.524616626311542,10591.2807302744,20665.1586287834,0.512518723931903,7871.5,15250.123,0.516159771301517,11596.1999798218,22387.6509560171,0.517973055887096,8598.1,16352.133,0.525809079463823,26015.090110938,47825.790905107,0.543955251311067,23061.073,40319.034,0.571964918603952,25286.8886400528,46316.3621156512,0.545960163643939,21798,38509.8,0.566037735849057,26316.1486573113,49597.4334643442,0.530594968714058,24463.8146666667,43095.55425,0.567664463131175,27150.7992897831,50830.9864043413,0.534138745091601,24212.1285,43535.45,0.556147426981919,11596.1999798218,22387.6509560171,0.517973055887096,8598.1,16352.133,0.525809079463823,27150.7992897831,50830.9864043413,0.534138745091601,24212.1285,43535.45,0.556147426981919
1990,11755.0538442326,22780.6552123718,0.516010348896751,8777.223,16816.8,0.521931818181818,12787.3658524996,24296.2266844245,0.526310773215546,9538.01333333333,17848.74,0.534380204615751,11733.2308067704,22815.3686597571,0.51426873620789,8731.4864,16880.5,0.517252830188679,12826.7420970275,24772.5774675214,0.517779876310581,9402.12,18473,0.50896551724138,28104.8915792999,51705.8737287025,0.543553170124628,23640.526,44503.368,0.531207570627014,27986.2171319582,49873.7503608483,0.561141220170358,23681.8764,41627.95,0.568893649579189,28356.4086587341,54355.3569993255,0.521685629975459,24790.766,47723.403,0.519467691773782,29160.2568990571,55292.2653005018,0.527384015478064,25207.8736,48022.4745,0.524918256763299,12826.7420970275,24772.5774675214,0.517779876310581,9402.12,18473,0.50896551724138,29160.2568990571,55292.2653005018,0.527384015478064,25207.8736,48022.4745,0.524918256763299
1991,12998.3688422369,24812.2819222472,0.523868335970435,9758.5,18675.75,0.522522522522522,14401.5152656298,26097.4063017587,0.551837033117705,10600.6473333333,19603.144,0.540762611004303,12917.5592573668,24794.0305847978,0.520994729484887,9722.158,18776.7,0.517777777777778,14360.274626362,26500.2261590145,0.541892531037029,10319.3333333333,20190,0.511111111111111,31197.4977468367,56178.4538635256,0.555328521903163,26528.987,47763.483,0.555424046441504,31231.8309583638,53586.9747099923,0.582825045216445,27252.7985,45006.6506666667,0.605528251854215,31208.4055271507,58587.813607956,0.532677422236365,27971.5625,51648.039,0.541580339574945,31921.6510305284,58995.5207103397,0.54108601205945,28455.786,51630.541,0.551142510786397,14360.274626362,26500.2261590145,0.541892531037029,10319.3333333333,20190,0.511111111111111,31921.6510305284,58995.5207103397,0.54108601205945,28455.786,51630.541,0.551142510786397
1992,13679.4440987901,26410.7982540339,0.517948907383015,10219.4,19941.64,0.512465373961219,15135.2266777646,28070.4865373987,0.539186474648374,11048,20842.052,0.530082162735224,13621.3367561789,26477.4672552225,0.514450140750988,10127.3333333333,20024.5,0.505747126436782,15210.5367523628,28605.3304959683,0.531737843564039,11048,21405.5,0.516129032258065,32513.2579202852,59052.6760462446,0.550580601882019,28115.3186666667,50506.27725,0.556669788341343,32650.6963320427,56613.4434640762,0.576730443057417,28168.257,47688.692,0.590669523919842,32606.8927508117,62192.1031878212,0.524293134971467,30035.369,54779.6666666667,0.548294117647059,32976.3263044635,62775.8320399789,0.525302894965414,30637.485,54652.6146666667,0.560585896701594,15210.5367523628,28605.3304959683,0.531737843564039,11048,21405.5,0.516129032258065,32976.3263044635,62775.8320399789,0.525302894965414,30637.485,54652.6146666667,0.560585896701594
1993,14753.863683889,28244.3397814799,0.522365323389973,10558.104,21263.799,0.496529524192737,16907.0665357232,30254.5134364302,0.558827910792476,12121,22473.76,0.539340101522843,14606.7958814552,28456.2580347175,0.513306980265447,10493.221,21390,0.490566666666667,16918.8061563021,31022.7180738012,0.545368272246592,12121,23175.352,0.523012552301255,35595.3582355937,63701.1185158295,0.55878702077654,30051.524,53733.819,0.559266483552937,35699.7060972123,60582.1811294425,0.589277332569699,30153.6256,50913.3336,0.592254002397517,35879.1541378673,67995.9524138886,0.52766602811109,32184.853952381,59452.5068,0.541354026679678,36601.745638862,68528.6751757573,0.534108466929917,34548.6526666667,59511.7333333333,0.580535143769968,16918.8061563021,31022.7180738012,0.545368272246592,12121,23175.352,0.523012552301255,36601.745638862,68528.6751757573,0.534108466929917,34548.6526666667,59511.7333333333,0.580535143769968
1994,15428.833004713,30611.393087059,0.504022569663305,10526.4,21740.0618333333,0.484193655045645,17082.2512313682,33135.7021531807,0.515524045707553,11695.7076,23078.401,0.506781540020905,15401.4567198672,30554.5110028609,0.504064906109122,10526.4,21924.883,0.480112026139433,17082.5704514417,33440.4343034422,0.510835783304503,11694.538,23742.5876,0.492555327036047,36343.1920201436,69266.4408582878,0.524686869569322,30287.8885,56792.852,0.5333045873449,35466.8660559415,68346.943860703,0.518923949668123,29574.3106666667,54689.3264,0.540769334958689,37780.7560582774,73175.4585973874,0.516303645818576,34536.7853888889,62008.6588333333,0.556967140374972,36799.6493960384,75547.171157733,0.487108237569946,32698.6046666667,63618.93,0.513976023593397,17081.334698144,33414.6278077432,0.51119332516359,11694.538,23742.5876,0.492555327036047,36799.2837916754,75251.1445690359,0.48901958903649,32698.6046666667,63509.28,0.514863413136894
1995,17109.3443728251,32295.058189461,0.529782119371084,11699.352,23371.65,0.500578778135048,19417.3892363146,34984.1416896814,0.555034032521135,13525.497,24949.8,0.54210843373494,17146.6335368063,32358.2124938987,0.52990051721922,11722.899,23672.62575,0.495209070755491,19778.2616431148,35598.0044963623,0.555600290604377,13594.9356,25551.6012,0.532058069221901,39615.1194292662,73391.7815817747,0.539775960951789,35407.9245,61660.762875,0.574237535331499,37595.963472132,71270.813877214,0.527508547003585,33964.794,59025.2148,0.575428553967753,41327.5317192115,78069.9974471265,0.529365096331672,38317.482,65618.475,0.583943500668067,40640.5639890582,79884.8661248892,0.508739213827086,38317.482,66675.084,0.574689669682306,19776.6151681572,35590.0942316886,0.555677516317125,13594.9356,25551.6012,0.532058069221901,40638.402336236,79848.5297087503,0.508943652243387,38317.482,66675.084,0.574689669682306
1996,18082.8933121759,34276.4564832966,0.527560173000611,12968.7508,25253.9728,0.513533094484049,20505.3361203879,36729.3169495854,0.55828253350133,14281.228,26993.752,0.529056798032374,18047.9579328869,34199.8539448207,0.527720321905649,12990.251,25383.36,0.511762469586375,20532.7631967975,37211.3243444751,0.551788025782696,14389.694,27451.0848,0.524194001979842,42769.1441037625,78997.3154689403,0.541399968465742,36722.7855,65654.74,0.559331824328297,41470.0753276507,75931.3541845917,0.546152189342436,36441.488,63194.8906666667,0.576652441606672,43880.1904829683,83056.3230309827,0.528318481744004,39634.1712,70535.0152,0.561907743092115,43451.5655920526,84974.3714617951,0.511349067307767,40374.056,71686.762,0.563200999370009,20528.4176507825,37205.8292178406,0.551752724837508,14389.694,27451.0848,0.524194001979842,43448.1987161273,84956.8240633286,0.511415053412779,40374.056,71686.762,0.563200999370009
